source_file,Unnamed: 0,opt_epoch,opt_mae,mse,mape,para,memo,opt_time,tot_time
iif_exp\Airquality\pearson_Airquality_DMU_alone_10_SAGE++DAMC_window_2_epoch_200_eval_0.8_stream_0.001_state_true_thre_0.25_delta_0.1.csv,0,90.0,0.2106,0.1405,0.5009,0.5455,2.0811,0.0174,0.0367
iif_exp\Airquality\pearson_Airquality_DMU_alone_10_SAGE++DAMC_window_2_epoch_200_eval_0.8_stream_0.001_state_true_thre_0.25_delta_0.1.csv,1,112.8,0.1507,0.0485,0.3607,0.5455,2.0811,0.0234,0.0384
iif_exp\Airquality\pearson_Airquality_DMU_alone_10_SAGE++DAMC_window_2_epoch_200_eval_0.8_stream_0.001_state_true_thre_0.25_delta_0.1.csv,2,37.6,0.4611,2.7018,0.6131,0.5455,2.0811,0.0077,0.0374
iif_exp\Airquality\pearson_Airquality_DMU_alone_10_SAGE++DAMC_window_2_epoch_200_eval_0.8_stream_0.001_state_true_thre_0.25_delta_0.1.csv,3,84.4,0.1629,0.0743,0.4415,0.5455,2.0811,0.0176,0.0424
iif_exp\Airquality\pearson_Airquality_DMU_alone_10_SAGE++DAMC_window_2_epoch_200_eval_0.8_stream_0.001_state_true_thre_0.25_delta_0.1.csv,4,57.0,0.2633,0.4162,0.5472,0.5455,2.0811,0.0122,0.0377
iif_exp\Airquality\pearson_Airquality_DMU_alone_10_SAGE++DAMC_window_2_epoch_200_eval_0.8_stream_0.001_state_true_thre_0.25_delta_0.1.csv,5,81.4,0.2279,0.2039,0.3782,0.5455,2.0811,0.0172,0.0384
iif_exp\Airquality\pearson_Airquality_DMU_alone_10_SAGE++DAMC_window_2_epoch_200_eval_0.8_stream_0.001_state_true_thre_0.25_delta_0.1.csv,6,48.8,0.4329,0.8255,0.4437,0.5455,2.0811,0.0101,0.0418
iif_exp\Airquality\pearson_Airquality_DMU_alone_10_SAGE++DAMC_window_2_epoch_200_eval_0.8_stream_0.001_state_true_thre_0.25_delta_0.1.csv,7,77.0,0.1197,0.0403,0.3054,0.5455,2.0811,0.0163,0.0368
iif_exp\Airquality\pearson_Airquality_DMU_alone_10_SAGE++DAMC_window_2_epoch_200_eval_0.8_stream_0.001_state_true_thre_0.25_delta_0.1.csv,8,12.0,0.1545,0.1302,0.4002,0.5455,2.0811,0.0027,0.037000000000000005
iif_exp\Airquality\pearson_Airquality_DMU_alone_10_SAGE++DAMC_window_2_epoch_200_eval_0.8_stream_0.001_state_true_thre_0.25_delta_0.1.csv,9,27.0,0.4041,1.1425,0.5082,0.5455,2.0811,0.0057,0.0403
iif_exp\Airquality\pearson_Airquality_DMU_alone_10_SAGE++DAMC_window_2_epoch_200_eval_0.8_stream_0.001_state_true_thre_0.25_delta_0.1.csv,10,77.0,0.1863,0.2688,0.3832,0.5455,2.0811,0.0156,0.0404
iif_exp\Airquality\pearson_Airquality_DMU_alone_10_SAGE++DAMC_window_2_epoch_200_eval_0.8_stream_0.001_state_true_thre_0.25_delta_0.1.csv,11,60.8,0.1804,0.2861,0.3495,0.5455,2.0811,0.0127,0.0426
iif_exp\Airquality\pearson_Airquality_DMU_alone_10_SAGE++DAMC_window_2_epoch_200_eval_0.8_stream_0.001_state_true_thre_0.25_delta_0.2.csv,0,44.0,0.3601,0.3962,0.4405,0.5455,2.0811,0.0171,0.0597
iif_exp\Airquality\pearson_Airquality_DMU_alone_10_SAGE++DAMC_window_2_epoch_200_eval_0.8_stream_0.001_state_true_thre_0.25_delta_0.2.csv,1,59.6,0.2385,0.21899999999999997,0.4479,0.5455,2.0811,0.0205,0.0652
iif_exp\Airquality\pearson_Airquality_DMU_alone_10_SAGE++DAMC_window_2_epoch_200_eval_0.8_stream_0.001_state_true_thre_0.25_delta_0.2.csv,2,60.2,0.2923,0.2496,0.4718,0.5455,2.0811,0.0206,0.0651
iif_exp\Airquality\pearson_Airquality_DMU_alone_10_SAGE++DAMC_window_2_epoch_200_eval_0.8_stream_0.001_state_true_thre_0.25_delta_0.2.csv,3,87.6,0.1799,0.1289,0.3105,0.5455,2.0811,0.0256,0.0591
iif_exp\Airquality\pearson_Airquality_DMU_alone_10_SAGE++DAMC_window_2_epoch_200_eval_0.8_stream_0.001_state_true_thre_0.25_delta_0.2.csv,4,51.8,0.2592,0.3246,0.4487,0.5455,2.0811,0.0164,0.0584
iif_exp\Airquality\pearson_Airquality_DMU_alone_10_SAGE++DAMC_window_2_epoch_200_eval_0.8_stream_0.001_state_true_thre_0.25_delta_0.2.csv,5,71.8,0.3182,0.3796,0.3913,0.5455,2.0811,0.0251,0.0658
iif_exp\Airquality\pearson_Airquality_DMU_alone_10_SAGE++DAMC_window_2_epoch_200_eval_0.8_stream_0.001_state_true_thre_0.25_delta_0.2.csv,6,56.0,0.469,1.5182,0.5066,0.5455,2.0811,0.0188,0.063
