source_file,Unnamed: 0,opt_epoch,opt_mae,mse,mape,para,memo,opt_time,tot_time
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.001_state_true_thre_0.25_delta_0.3.csv,0,24.0,0.8420000000000001,3.5618,0.4637,0.5922,2.2589,0.0058,0.0481
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.001_state_true_thre_0.25_delta_0.3.csv,1,27.0,0.5386,3.7579,0.3485,0.5922,2.2589,0.0074,0.0557
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.001_state_true_thre_0.25_delta_0.3.csv,2,42.0,0.6424,1.4214,0.3795,0.5922,2.2589,0.0119,0.0542
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.001_state_true_thre_0.25_delta_0.3.csv,3,28.0,0.4376,0.8342,0.28300000000000003,0.5922,2.2589,0.0091,0.0582
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.001_state_true_thre_0.25_delta_0.3.csv,4,32.0,0.5238,2.4964,0.3506,0.5922,2.2589,0.009000000000000001,0.0527
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.001_state_true_thre_0.25_delta_0.3.csv,5,38.0,0.5159,1.3185,0.3371,0.5922,2.2589,0.0121,0.0569
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.001_state_true_thre_0.25_delta_0.3.csv,6,35.0,0.6374,3.7214,0.3359,0.5922,2.2589,0.0101,0.0535
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.001_state_true_thre_0.25_delta_0.3.csv,7,48.0,0.4458,0.77,0.2738,0.5922,2.2589,0.0141,0.0572
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.001_state_true_thre_0.25_delta_0.3.csv,8,171.0,0.4295,0.6105,0.2599,0.5922,2.2589,0.0472,0.0544
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.001_state_true_thre_0.25_delta_0.3.csv,9,89.0,0.568,1.8202,0.3406,0.5922,2.2589,0.0254,0.0574
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.001_state_true_thre_0.25_delta_0.3.csv,10,38.0,0.4994,1.2188,0.3161,0.5922,2.2589,0.0125,0.0561
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.001_state_true_thre_0.25_delta_0.3.csv,11,53.0,0.6975,4.3356,0.4026,0.5922,2.2589,0.015,0.0543
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.01_state_true_thre_0.25_delta_0.3.csv,0,108.0,0.57,9.5616,0.4907,0.5922,2.2589,0.1015,0.1817
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.01_state_true_thre_0.25_delta_0.3.csv,1,51.0,0.4145,4.7392,0.4081,0.5922,2.2589,0.0483,0.1884
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.01_state_true_thre_0.25_delta_0.3.csv,2,30.0,0.3572,5.0466,0.3679,0.5922,2.2589,0.0273,0.1761
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.01_state_true_thre_0.25_delta_0.3.csv,3,34.0,0.2983,0.5924,0.3335,0.5922,2.2589,0.0332,0.1782
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.01_state_true_thre_0.25_delta_0.3.csv,4,33.0,0.2612,0.4635,0.3029,0.5922,2.2589,0.0317,0.184
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.01_state_true_thre_0.25_delta_0.3.csv,5,34.0,0.2613,0.3343,0.3055,0.5922,2.2589,0.0348,0.1828
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.01_state_true_thre_0.25_delta_0.3.csv,6,23.0,0.3314,1.8119,0.3498,0.5922,2.2589,0.0238,0.1807
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.01_state_true_thre_0.25_delta_0.3.csv,7,26.0,0.2918,0.4951,0.3144,0.5922,2.2589,0.0256,0.1875
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.01_state_true_thre_0.25_delta_0.3.csv,8,147.0,0.3101,1.2228,0.3219,0.5922,2.2589,0.1367,0.1841
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.01_state_true_thre_0.25_delta_0.3.csv,9,43.0,0.2839,0.7218,0.3014,0.5922,2.2589,0.0391,0.1818
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.01_state_true_thre_0.25_delta_0.3.csv,10,115.0,0.3148,0.644,0.324,0.5922,2.2589,0.1078,0.1852
