Unnamed: 0,opt_epoch,opt_mae,mse,mape,para,memo,opt_time,tot_time,__filename,method,eval,pearson
0.0,167.0,0.1753,0.4313,0.3012,0.2947,1.1241,0.1646,0.1777,pearson_Airquality_10_SAGE++DAC_incre_alone_window_2_epoch_200_eval_0.4_pearson_0.1.csv,DAC,0.4,0.1
0.0,153.2,0.174,0.4268,0.2999,0.2947,1.1241,0.1691,0.1892,pearson_Airquality_10_SAGE++DAC_incre_alone_window_2_epoch_200_eval_0.4_pearson_0.2.csv,DAC,0.4,0.2
0.0,137.2,0.1732,0.4253,0.2989,0.2947,1.1241,0.1599,0.1855,pearson_Airquality_10_SAGE++DAC_incre_alone_window_2_epoch_200_eval_0.4_pearson_0.3.csv,DAC,0.4,0.3
0.0,177.0,0.1723,0.4214,0.298,0.2947,1.1241,0.1717,0.1813,pearson_Airquality_10_SAGE++DAC_incre_alone_window_2_epoch_200_eval_0.4_pearson_0.4.csv,DAC,0.4,0.4
0.0,175.2,0.1737,0.4303,0.299,0.2947,1.1241,0.188,0.1991,pearson_Airquality_10_SAGE++DAC_incre_alone_window_2_epoch_200_eval_0.4_pearson_0.5.csv,DAC,0.4,0.5
0.0,147.6,0.1737,0.4379,0.2992,0.2947,1.1241,0.1699,0.1922,pearson_Airquality_10_SAGE++DAC_incre_alone_window_2_epoch_200_eval_0.4_pearson_0.6.csv,DAC,0.4,0.6
0.0,98.6,0.1739,0.4322,0.2996,0.2947,1.1241,0.1638,0.2096,pearson_Airquality_10_SAGE++DAC_incre_alone_window_2_epoch_200_eval_0.4_pearson_0.7.csv,DAC,0.4,0.7
0.0,155.4,0.1736,0.4452,0.2989,0.2947,1.1241,0.1754,0.195,pearson_Airquality_10_SAGE++DAC_incre_alone_window_2_epoch_200_eval_0.4_pearson_0.8.csv,DAC,0.4,0.8
0.0,156.8,0.1721,0.4275,0.2975,0.2947,1.1241,0.1958,0.2152,pearson_Airquality_10_SAGE++DAC_incre_alone_window_2_epoch_200_eval_0.4_pearson_0.9.csv,DAC,0.4,0.9
0.0,124.6,0.1745,0.4461,0.3012,0.2947,1.1241,0.1787,0.213,pearson_Airquality_10_SAGE++DAC_incre_alone_window_2_epoch_200_eval_0.6_pearson_0.1.csv,DAC,0.6,0.1
0.0,140.0,0.1757,0.4245,0.3023,0.2947,1.1241,0.1779,0.2052,pearson_Airquality_10_SAGE++DAC_incre_alone_window_2_epoch_200_eval_0.6_pearson_0.2.csv,DAC,0.6,0.2
0.0,132.8,0.1778,0.4399,0.3045,0.2947,1.1241,0.1783,0.2095,pearson_Airquality_10_SAGE++DAC_incre_alone_window_2_epoch_200_eval_0.6_pearson_0.3.csv,DAC,0.6,0.3
