Unnamed: 0,opt_epoch,opt_mae,mse,mape,para,memo,opt_time,tot_time,__filename,method,eval,pearson
0.0,78.4,0.2836,1.5279,0.5131,0.3679,1.4035,0.9715,1.1089,no_pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.1.csv,DAC,0.1,0.0
0.0,121.0,0.2847,1.8526,0.5151,0.3679,1.4035,1.5937,1.6935,no_pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.3.csv,DAC,0.3,0.0
0.0,66.6,0.2781,1.5791,0.5081,0.3679,1.4035,1.6307,1.7977,no_pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.5.csv,DAC,0.5,0.0
0.0,75.8,0.2828,1.5195,0.51,0.5922,2.2589,1.3228,1.6335,no_pearson_ICU_10_SAGE++DAMC_incre_alone_window_4_epoch_200_eval_0.1.csv,DAMC,0.1,0.0
0.0,53.8,0.2825,1.7395,0.5123,0.5922,2.2589,1.3684,1.6844,no_pearson_ICU_10_SAGE++DAMC_incre_alone_window_4_epoch_200_eval_0.3.csv,DAMC,0.3,0.0
0.0,63.6,0.2855,2.0218,0.5165,0.5922,2.2589,1.6655,2.029,no_pearson_ICU_10_SAGE++DAMC_incre_alone_window_4_epoch_200_eval_0.5.csv,DAMC,0.5,0.0
0.0,94.4,0.2804,1.7089,0.511,0.3679,1.4035,0.6598,0.7715,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.1_pearson_0.1.csv,DAC,0.1,0.1
0.0,91.6,0.2827,2.1224,0.5122,0.3679,1.4035,0.5458,0.6506,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.1_pearson_0.2.csv,DAC,0.1,0.2
0.0,104.8,0.2827,2.1169,0.5125,0.3679,1.4035,0.5999,0.7017,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.1_pearson_0.3.csv,DAC,0.1,0.3
0.0,71.6,0.2804,1.5539,0.5093,0.3679,1.4035,0.5309,0.6804,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.1_pearson_0.4.csv,DAC,0.1,0.4
0.0,91.4,0.2841,1.8838,0.5127,0.3679,1.4035,0.465,0.5986,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.1_pearson_0.5.csv,DAC,0.1,0.5
0.0,99.2,0.2846,2.1687,0.5148,0.3679,1.4035,0.4782,0.6023,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.1_pearson_0.6.csv,DAC,0.1,0.6
0.0,102.6,0.2847,1.8344,0.5135,0.3679,1.4035,0.5693,0.7268,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.1_pearson_0.7.csv,DAC,0.1,0.7
0.0,86.2,0.2902,2.4612,0.5192,0.3679,1.4035,0.8251,1.0113,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.1_pearson_0.8.csv,DAC,0.1,0.8
0.0,67.0,0.2786,1.7795,0.5083,0.3679,1.4035,0.5789,0.7711,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.1_pearson_0.9.csv,DAC,0.1,0.9
0.0,66.0,0.2841,2.2152,0.5134,0.3679,1.4035,0.7347,0.9357,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.3_pearson_0.1.csv,DAC,0.3,0.1
0.0,84.6,0.2823,1.714,0.5131,0.3679,1.4035,0.8428,1.0141,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.3_pearson_0.2.csv,DAC,0.3,0.2
0.0,75.0,0.28300000000000003,1.8219999999999998,0.5135,0.3679,1.4035,0.8798,1.0442,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.3_pearson_0.3.csv,DAC,0.3,0.3
0.0,83.8,0.2846,2.1531,0.5137,0.3679,1.4035,1.2389,1.4317,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.3_pearson_0.4.csv,DAC,0.3,0.4
0.0,66.6,0.2858,2.3372,0.5152,0.3679,1.4035,0.7682,0.9769,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.3_pearson_0.5.csv,DAC,0.3,0.5
0.0,81.8,0.2847,1.9738,0.5134,0.3679,1.4035,1.9480000000000002,2.1219,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.3_pearson_0.6.csv,DAC,0.3,0.6
0.0,142.4,0.2836,2.0179,0.5136,0.3679,1.4035,1.5618,1.6462,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.3_pearson_0.7.csv,DAC,0.3,0.7
0.0,109.4,0.2836,1.9103,0.513,0.3679,1.4035,1.7709,1.8712,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.3_pearson_0.8.csv,DAC,0.3,0.8
0.0,86.6,0.2811,1.78,0.512,0.3679,1.4035,1.3592,1.4907,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.3_pearson_0.9.csv,DAC,0.3,0.9
0.0,72.0,0.281,1.939,0.51,0.3679,1.4035,1.04,1.146,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.5_pearson_0.1.csv,DAC,0.5,0.1
0.0,50.0,0.2881,2.2438,0.5206,0.3679,1.4035,0.6763,0.7893,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.5_pearson_0.2.csv,DAC,0.5,0.2
0.0,52.4,0.284,1.8418,0.5143,0.3679,1.4035,0.7169,0.8278,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.5_pearson_0.3.csv,DAC,0.5,0.3
0.0,80.6,0.2918,2.6133,0.5208,0.3679,1.4035,0.7375,0.8271,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.5_pearson_0.4.csv,DAC,0.5,0.4
0.0,84.2,0.284,1.6917,0.5162,0.3679,1.4035,0.7807,0.8686,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.5_pearson_0.5.csv,DAC,0.5,0.5
0.0,74.8,0.2838,1.692,0.5158,0.3679,1.4035,0.8361,0.9311,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.5_pearson_0.6.csv,DAC,0.5,0.6
0.0,74.4,0.2839,2.1827,0.515,0.3679,1.4035,0.8784,0.9727,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.5_pearson_0.7.csv,DAC,0.5,0.7
0.0,70.2,0.2782,1.714,0.508,0.3679,1.4035,1.0155,1.1127,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.5_pearson_0.8.csv,DAC,0.5,0.8
0.0,48.6,0.2856,1.9769999999999999,0.5162,0.3679,1.4035,0.8662,0.98,pearson_ICU_10_SAGE++DAC_incre_alone_window_4_epoch_200_eval_0.5_pearson_0.9.csv,DAC,0.5,0.9
0.0,64.4,0.2793,1.7959,0.5086,0.5922,2.2589,1.3326,1.6621,pearson_ICU_10_SAGE++DAMC_incre_alone_window_4_epoch_200_eval_0.1_pearson_0.1.csv,DAMC,0.1,0.1
