Unnamed: 0,opt_epoch,opt_mae,mse,mape,para,memo,opt_time,tot_time,__filename,method,eval,pearson
0.0,84.8,0.3547,1.1924,0.5431,0.2721,1.0381,0.0741,0.1337,no_pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.1.csv,DAC,0.1,0.0
0.0,120.8,0.3677,1.2715,0.5538,0.2721,1.0381,0.1077,0.1475,no_pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.3.csv,DAC,0.3,0.0
0.0,85.4,0.3675,1.2763,0.5522,0.2721,1.0381,0.111,0.1702,no_pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.5.csv,DAC,0.5,0.0
0.0,100.2,0.3555,1.1852,0.5443,0.5312,2.0264,0.3854,0.808,no_pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.1.csv,DAMC,0.1,0.0
0.0,107.2,0.3666,1.2753,0.552,0.5312,2.0264,0.1788,0.2891,no_pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.3.csv,DAMC,0.3,0.0
0.0,88.0,0.3659,1.2671,0.55,0.5312,2.0264,0.1722,0.3059,no_pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.5.csv,DAMC,0.5,0.0
0.0,114.4,0.3563,1.1866,0.5455,0.2721,1.0381,0.0855,0.1299,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.1_pearson_0.1.csv,DAC,0.1,0.1
0.0,89.2,0.3571,1.1844,0.5467,0.2721,1.0381,0.0743,0.1306,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.1_pearson_0.2.csv,DAC,0.1,0.2
0.0,82.0,0.3531,1.1924,0.5407,0.2721,1.0381,0.0717,0.1334,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.1_pearson_0.3.csv,DAC,0.1,0.3
0.0,114.4,0.3581,1.1828,0.5484,0.2721,1.0381,0.0884,0.1322,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.1_pearson_0.4.csv,DAC,0.1,0.4
0.0,85.4,0.3554,1.1872,0.5441,0.2721,1.0381,0.0727,0.1318,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.1_pearson_0.5.csv,DAC,0.1,0.5
0.0,85.8,0.3539,1.193,0.5419,0.2721,1.0381,0.0754,0.1349,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.1_pearson_0.6.csv,DAC,0.1,0.6
0.0,83.8,0.3575,1.1866,0.5473,0.2721,1.0381,0.06,0.1077,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.1_pearson_0.7.csv,DAC,0.1,0.7
0.0,121.6,0.3581,1.1825,0.5482,0.2721,1.0381,0.0759,0.1082,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.1_pearson_0.8.csv,DAC,0.1,0.8
0.0,96.4,0.3554,1.188,0.5441,0.2721,1.0381,0.0652,0.1076,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.1_pearson_0.9.csv,DAC,0.1,0.9
0.0,128.2,0.3682,1.2681,0.5542,0.2721,1.0381,0.0934,0.1223,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.3_pearson_0.1.csv,DAC,0.3,0.1
0.0,132.4,0.3683,1.2668,0.5546,0.2721,1.0381,0.0952,0.1226,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.3_pearson_0.2.csv,DAC,0.3,0.2
0.0,75.2,0.3628,1.2823,0.5462,0.2721,1.0381,0.0719,0.123,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.3_pearson_0.3.csv,DAC,0.3,0.3
0.0,89.8,0.3646,1.2767,0.5489,0.2721,1.0381,0.0781,0.1236,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.3_pearson_0.4.csv,DAC,0.3,0.4
0.0,112.6,0.3678,1.274,0.5537,0.2721,1.0381,0.0866,0.1227,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.3_pearson_0.5.csv,DAC,0.3,0.5
0.0,95.0,0.3657,1.2758,0.5505,0.2721,1.0381,0.0826,0.1259,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.3_pearson_0.6.csv,DAC,0.3,0.6
0.0,128.0,0.366,1.2804,0.551,0.2721,1.0381,0.0932,0.123,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.3_pearson_0.7.csv,DAC,0.3,0.7
0.0,130.4,0.3689,1.2683,0.5556,0.2721,1.0381,0.0943,0.1223,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.3_pearson_0.8.csv,DAC,0.3,0.8
0.0,104.8,0.3664,1.2731,0.5515,0.2721,1.0381,0.0839,0.1223,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.3_pearson_0.9.csv,DAC,0.3,0.9
0.0,102.6,0.3676,1.2746,0.5524,0.2721,1.0381,0.1037,0.1446,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.5_pearson_0.1.csv,DAC,0.5,0.1
0.0,115.2,0.3694,1.2721,0.5551,0.2721,1.0381,0.1081,0.1431,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.5_pearson_0.2.csv,DAC,0.5,0.2
0.0,112.0,0.3672,1.2717,0.5519,0.2721,1.0381,0.107,0.1429,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.5_pearson_0.3.csv,DAC,0.5,0.3
0.0,113.0,0.3672,1.2742,0.5519,0.2721,1.0381,0.1074,0.1427,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.5_pearson_0.4.csv,DAC,0.5,0.4
0.0,99.2,0.3689,1.2743,0.5543,0.2721,1.0381,0.1015,0.1429,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.5_pearson_0.5.csv,DAC,0.5,0.5
